DateTime,Entries,UniqueIPs
1538422106,454,454
1538424090,458,458
1538425947,459,459
1538427875,459,459
1538430025,431,431
1538431947,431,431
1538433860,425,425
1538435803,432,432
1538437702,433,433
1538439617,433,433
1538441539,431,431
1538443471,430,430
1538445385,431,431
1538447771,425,425
1538449723,427,427
1538451636,426,426
1538453556,424,424
1538455699,425,425
1538457636,426,426
1538459536,430,430
1538461473,430,430
1538463372,616,616
1538465291,823,823
1538467271,884,884
1538469400,892,892
1538471329,892,892
1538473217,871,871
1538475157,746,746
1538477081,749,749
1538478977,756,756
1538480928,752,752
1538483080,753,753
1538484990,752,752
1538486889,750,750
1538488856,748,748
1538490744,750,750
1538492676,749,749
1538494595,753,753
1538496549,753,753
1538498433,752,752
1538500359,751,751
1538502274,755,755
1538504187,751,751
1538506104,724,724
1538508023,726,726
1538509943,728,728
1538511850,727,727
1538514991,764,764
1538516909,770,770
1538518841,775,775
1538520739,775,775
1538522674,774,774
1538524603,776,776
1538526495,781,781
1538528477,778,778
1538530348,778,778
1538532290,780,780
1538534427,780,780
1538536333,782,782
1538538251,783,783
1538540201,785,785
1538542254,786,786
1538544264,785,785
1538546202,781,781
1538548121,778,778
1538550993,688,688
1538552916,625,625
1538554828,572,572
1538556757,523,523
1538558674,472,472
1538560597,416,416
1538562497,359,359
1538564467,321,321
1538566368,324,324
1538568338,324,324
1538570437,331,331
1538572337,335,335
1538574277,340,340
1538576180,337,337
1538578100,340,340
1538580028,338,338
1538581956,339,339
1538583869,344,344
1538585801,345,345
1538587693,349,349
1538589670,269,269
1538591547,268,268
1538593492,266,266
1538595367,266,266
1538597310,265,265
1538599472,266,266
1538601404,235,235
1538603303,233,233
1538605219,231,231
1538607137,231,231
1538609073,231,231
1538610983,226,226
1538612901,221,221
1538615066,221,221
1538616977,219,219
1538618909,217,217
1538620823,218,218
1538622742,214,214
1538624683,211,211
1538626591,207,207
1538628502,206,206
1538630410,204,204
1538632325,209,209
1538634265,204,204
1538636199,200,200
1538638112,197,197
1538640071,195,195
1538641957,200,200
1538643861,204,204
1538645797,203,203
1538647722,208,208
1538649638,206,206
1538651567,205,205
1538653474,202,202
1538655666,203,203
1538657545,199,199
1538659475,198,198
1538661409,196,196
1538663290,194,194
1538665249,194,194
1538667160,193,193
1538669082,188,188
1538670996,182,182
1538672928,187,187
1538674832,185,185
1538676739,181,181
1538678686,182,182
1538680589,182,182
1538682519,184,184
1538684438,182,182
1538686333,182,182
1538688270,174,174
1538690192,165,165
1538692114,166,166
1538694074,170,170
1538695947,169,169
1538697896,172,172
1538699771,174,174
1538701714,180,180
1538703869,185,185
1538705798,187,187
1538707725,190,190
1538709630,193,193
1538711548,194,194
1538713477,194,194
1538715384,194,194
1538717316,195,195
1538719274,197,197
1538721149,199,199
1538723102,200,200
1538724968,199,199
1538726923,198,198
1538728814,197,197
1538730994,194,194
1538732901,190,190
1538734833,191,191
1538736749,192,192
1538738663,200,200
1538740588,196,196
1538742519,201,201
1538744491,206,206
1538746351,208,208
1538748290,209,209
1538750423,206,206
1538752344,206,206
1538754290,209,209
1538756192,208,208
1538758344,205,205
1538760283,208,208
1538762187,206,206
1538764226,204,204
1538766070,204,204
1538767973,208,208
1538769875,209,209
1538771802,209,209
1538773703,215,215
1538775644,218,218
1538777563,216,216
1538779462,222,222
1538781392,222,222
1538783328,226,226
1538785234,225,225
1538787161,225,225
1538789117,220,220
1538791022,216,216
1538792932,212,212
1538794870,212,212
1538796756,212,212
1538798670,211,211
1538800609,208,208
1538802531,208,208
1538804569,208,208
1538806852,209,209
1538808763,209,209
1538810666,216,216
1538812601,218,218
1538814502,220,220
1538816457,225,225
1538818339,225,225
1538820270,225,225
1538822214,230,230
1538824104,225,225
1538826020,225,225
1538827955,221,221
1538829876,215,215
1538831783,217,217
1538833959,214,214
1538835872,213,213
1538837791,212,212
1538839695,208,208
1538841642,209,209
1538843555,211,211
1538845466,207,207
1538847375,207,207
1538849325,209,209
1538851218,211,211
1538853143,204,204
1538855063,201,201
1538856994,204,204
1538858895,206,206
1538860834,207,207
1538862741,208,208
1538864673,208,208
1538866584,198,198
1538868500,195,195
1538870431,194,194
1538872355,195,195
1538874725,196,196
1538876683,193,193
1538878597,192,192
1538880505,191,191
1538882441,188,188
1538884335,189,189
1538886271,189,189
1538888210,186,186
1538890092,186,186
1538892173,186,186
1538894423,188,188
1538896351,184,184
1538898260,183,183
1538900190,183,183
1538902128,175,175
1538904015,173,173
1538905938,173,173
1538907858,170,170
1538909774,168,168
1538911715,169,169
1538914594,164,164
1538916507,164,164
1538918430,164,164
1538920367,163,163
1538922265,161,161
1538924201,163,163
1538926100,164,164
1538928088,165,165
1538929947,165,165
1538931876,164,164
1538933689,161,161
1538935496,162,162
1538937390,158,158
1538939314,157,157
1538941217,159,159
1538943138,159,159
1538945072,155,155
1538946993,152,152
1538948898,149,149
1538950819,150,150
1538952740,149,149
1538954657,150,150
1538956575,149,149
1538958498,147,147
1538960475,146,146
1538962353,149,149
1538964277,150,150
1538966173,154,154
1538968121,156,156
1538970033,156,156
1538971953,158,158
1538973862,157,157
1538975806,162,162
1538977722,167,167
1538979876,167,167
1538981774,167,167
1538983712,168,168
1538985670,166,166
1538987536,170,170
1538989456,177,177
1538991622,175,175
1538993545,179,179
1538995478,181,181
1538997401,180,180
1538999298,186,186
1539001229,187,187
1539003144,198,198
1539005081,192,192
1539007018,200,200
1539009145,206,206
1539011121,207,207
1539012982,205,205
1539014950,205,205
1539016817,207,207
1539018738,211,211
1539020678,211,211
1539022602,205,205
1539024519,207,207
1539026698,208,208
1539028588,209,209
1539030511,209,209
1539032865,217,217
1539034836,215,215
1539036761,215,215
1539038674,217,217
1539040607,217,217
1539042498,221,221
1539044435,224,224
1539046364,228,228
1539048301,230,230
1539050197,228,228
1539052093,229,229
1539054080,231,231
1539055955,230,230
1539057887,233,233
1539059800,241,241
1539061724,237,237
1539063615,234,234
1539065830,238,238
1539067700,241,241
1539069627,240,240
1539071802,243,243
1539073724,247,247
1539075861,244,244
1539078023,245,245
1539079952,244,244
